attrition,age,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
no,28,non_travel,120,sales,4,3,medical,1,129,2,male,43,3,2,sales_executive,3,married,4221,8863,1,y,no,15,3,2,80,0,5,3,4,5,4,0,4
no,58,travel_rarely,682,sales,10,4,medical,1,131,4,male,37,3,4,sales_executive,3,single,13872,24409,0,y,no,13,3,3,80,0,38,1,2,37,10,1,8
no,44,non_travel,489,research_development,23,3,medical,1,132,2,male,67,3,2,laboratory_technician,2,married,2042,25043,4,y,no,12,3,3,80,1,17,3,4,3,2,1,2
yes,37,travel_rarely,807,human_resources,6,4,human_resources,1,133,3,male,63,3,1,human_resources,1,divorced,2073,23648,4,y,yes,22,4,4,80,0,7,3,3,3,2,0,2
no,32,travel_rarely,827,research_development,1,1,life_sciences,1,134,4,male,71,3,1,research_scientist,1,single,2956,15178,1,y,no,13,3,4,80,0,1,2,3,1,0,0,0
yes,20,travel_frequently,871,research_development,6,3,life_sciences,1,137,4,female,66,2,1,laboratory_technician,4,single,2926,19783,1,y,yes,18,3,2,80,0,1,5,3,1,0,1,0
no,34,travel_rarely,665,research_development,6,4,other,1,138,1,female,41,3,2,research_scientist,3,single,4809,12482,1,y,no,14,3,3,80,0,16,3,3,16,13,2,10
no,37,non_travel,1040,research_development,2,2,life_sciences,1,139,3,male,100,2,2,healthcare_representative,4,divorced,5163,15850,5,y,no,14,3,4,80,1,17,2,4,1,0,0,0
no,59,non_travel,1420,human_resources,2,4,human_resources,1,140,3,female,32,2,5,manager,4,married,18844,21922,9,y,no,21,4,4,80,1,30,3,3,3,2,2,2
no,50,travel_frequently,1115,research_development,1,3,life_sciences,1,141,1,female,73,3,5,research_director,2,married,18172,9755,3,y,yes,19,3,1,80,0,28,1,2,8,3,0,7
yes,25,travel_rarely,240,sales,5,3,marketing,1,142,3,male,46,2,2,sales_executive,3,single,5744,26959,1,y,yes,11,3,4,80,0,6,1,3,6,4,0,3
no,25,travel_rarely,1280,research_development,7,1,medical,1,143,4,male,64,2,1,research_scientist,4,married,2889,26897,1,y,no,11,3,3,80,2,2,2,3,2,2,2,1
no,22,travel_rarely,534,research_development,15,3,medical,1,144,2,female,59,3,1,laboratory_technician,4,single,2871,23785,1,y,no,15,3,3,80,0,1,5,3,0,0,0,0
no,51,travel_frequently,1456,research_development,1,4,medical,1,145,1,female,30,2,3,healthcare_representative,1,single,7484,25796,3,y,no,20,4,3,80,0,23,1,2,13,12,12,8
yes,34,travel_frequently,658,research_development,7,3,life_sciences,1,147,1,male,66,1,2,laboratory_technician,3,single,6074,22887,1,y,yes,24,4,4,80,0,9,3,3,9,7,0,6
no,54,non_travel,142,human_resources,26,3,human_resources,1,148,4,female,30,4,4,manager,4,single,17328,13871,2,y,yes,12,3,3,80,0,23,3,3,5,3,4,4
no,24,travel_rarely,1127,research_development,18,1,life_sciences,1,150,2,male,52,3,1,laboratory_technician,3,married,2774,13257,0,y,no,12,3,3,80,1,6,2,3,5,3,1,2
no,34,travel_rarely,1031,research_development,6,4,life_sciences,1,151,3,female,45,2,2,research_scientist,2,divorced,4505,15000,6,y,no,15,3,3,80,1,12,3,3,1,0,0,0
no,37,travel_rarely,1189,sales,3,3,life_sciences,1,152,3,male,87,3,3,sales_executive,4,single,7428,14506,2,y,no,12,3,1,80,0,12,3,3,5,3,1,3
no,34,travel_rarely,1354,research_development,5,3,medical,1,153,3,female,45,2,3,manager,1,single,11631,5615,2,y,no,12,3,4,80,0,14,6,3,11,10,5,8
no,36,travel_frequently,1467,sales,11,2,technical_degree,1,154,2,female,92,3,3,sales_executive,4,married,9738,22952,0,y,no,14,3,3,80,1,10,6,3,9,7,2,8
no,36,travel_rarely,922,research_development,3,2,life_sciences,1,155,1,female,39,3,1,laboratory_technician,4,divorced,2835,2561,5,y,no,22,4,1,80,1,7,2,3,1,0,0,0
no,43,travel_frequently,394,sales,26,2,life_sciences,1,158,3,male,92,3,4,manager,4,married,16959,19494,1,y,yes,12,3,4,80,2,25,3,4,25,12,4,12
no,30,travel_frequently,1312,research_development,23,3,life_sciences,1,159,1,male,96,1,1,research_scientist,3,divorced,2613,22310,1,y,no,25,4,3,80,3,10,2,2,10,7,0,9
no,33,non_travel,750,sales,22,2,marketing,1,160,3,male,95,3,2,sales_executive,2,married,6146,15480,0,y,no,13,3,1,80,1,8,2,4,7,7,0,7
yes,56,travel_rarely,441,research_development,14,4,life_sciences,1,161,2,female,72,3,1,research_scientist,2,married,4963,4510,9,y,yes,18,3,1,80,3,7,2,3,5,4,4,3
no,51,travel_rarely,684,research_development,6,3,life_sciences,1,162,1,male,51,3,5,research_director,3,single,19537,6462,7,y,no,13,3,3,80,0,23,5,3,20,18,15,15
yes,31,travel_rarely,249,sales,6,4,life_sciences,1,163,2,male,76,1,2,sales_executive,3,married,6172,20739,4,y,yes,18,3,2,80,0,12,3,2,7,7,7,7
no,26,travel_rarely,841,research_development,6,3,other,1,164,3,female,46,2,1,research_scientist,2,married,2368,23300,1,y,no,19,3,3,80,0,5,3,2,5,4,4,3
yes,58,travel_rarely,147,research_development,23,4,medical,1,165,4,female,94,3,3,healthcare_representative,4,married,10312,3465,1,y,no,12,3,4,80,1,40,3,2,40,10,15,6
yes,19,travel_rarely,528,sales,22,1,marketing,1,167,4,male,50,3,1,sales_representative,3,single,1675,26820,1,y,yes,19,3,4,80,0,0,2,2,0,0,0,0
no,22,travel_rarely,594,research_development,2,1,technical_degree,1,169,3,male,100,3,1,laboratory_technician,4,married,2523,19299,0,y,no,14,3,3,80,1,3,2,3,2,1,2,1
no,49,travel_rarely,470,research_development,20,4,medical,1,170,3,female,96,3,2,manufacturing_director,1,married,6567,5549,1,y,no,14,3,3,80,0,16,2,2,15,11,5,11
no,43,travel_frequently,957,research_development,28,3,medical,1,171,2,female,72,4,1,research_scientist,3,single,4739,16090,4,y,no,12,3,4,80,0,18,2,3,3,2,1,2
no,50,travel_frequently,809,sales,12,3,marketing,1,174,3,female,77,3,3,sales_executive,4,single,9208,6645,4,y,no,11,3,4,80,0,16,3,3,2,2,2,1
yes,31,travel_rarely,542,sales,20,3,life_sciences,1,175,2,female,71,1,2,sales_executive,3,married,4559,24788,3,y,yes,11,3,3,80,1,4,2,3,2,2,2,2
no,41,travel_rarely,802,sales,9,1,life_sciences,1,176,3,male,96,3,3,sales_executive,3,divorced,8189,21196,3,y,yes,13,3,3,80,1,12,2,3,9,7,0,7
no,26,travel_rarely,1355,human_resources,25,1,life_sciences,1,177,3,female,61,3,1,human_resources,3,married,2942,8916,1,y,no,23,4,4,80,1,8,3,3,8,7,5,7
no,36,travel_rarely,216,research_development,6,2,medical,1,178,2,male,84,3,2,manufacturing_director,2,divorced,4941,2819,6,y,no,20,4,4,80,2,7,0,3,3,2,0,1
yes,51,travel_frequently,1150,research_development,8,4,life_sciences,1,179,1,male,53,1,3,manufacturing_director,4,single,10650,25150,2,y,no,15,3,4,80,0,18,2,3,4,2,0,3
no,39,travel_rarely,1329,sales,4,4,life_sciences,1,182,4,female,47,2,2,sales_executive,3,married,5902,14590,4,y,no,14,3,3,80,1,17,1,4,15,11,5,9
no,25,travel_rarely,959,sales,28,3,life_sciences,1,183,1,male,41,2,2,sales_executive,3,married,8639,24835,2,y,no,18,3,4,80,0,6,3,3,2,2,2,2
no,30,travel_rarely,1240,human_resources,9,3,human_resources,1,184,3,male,48,3,2,human_resources,4,married,6347,13982,0,y,yes,19,3,4,80,0,12,2,1,11,9,4,7
yes,32,travel_rarely,1033,research_development,9,3,medical,1,190,1,female,41,3,1,laboratory_technician,1,single,4200,10224,7,y,no,22,4,1,80,0,10,2,4,5,4,0,4
no,45,travel_rarely,1316,research_development,29,3,medical,1,192,3,male,83,3,1,research_scientist,4,single,3452,9752,5,y,no,13,3,2,80,0,9,2,2,6,5,0,3
no,38,travel_rarely,364,research_development,3,5,technical_degree,1,193,4,female,32,3,2,research_scientist,3,single,4317,2302,3,y,yes,20,4,2,80,0,19,2,3,3,2,2,2
no,30,travel_rarely,438,research_development,18,3,life_sciences,1,194,1,female,75,3,1,research_scientist,3,single,2632,23910,1,y,no,14,3,3,80,0,5,4,2,5,4,0,4
no,32,travel_frequently,689,sales,9,2,medical,1,195,4,male,35,1,2,sales_executive,4,divorced,4668,22812,0,y,no,17,3,4,80,3,9,2,4,8,7,0,7
no,30,travel_rarely,201,research_development,5,3,technical_degree,1,197,4,female,84,3,1,research_scientist,1,divorced,3204,10415,5,y,no,14,3,4,80,1,8,3,3,3,2,2,2
no,30,travel_rarely,1427,research_development,2,1,medical,1,198,2,male,35,2,1,laboratory_technician,4,single,2720,11162,0,y,no,13,3,4,80,0,6,3,3,5,3,1,2
no,41,travel_frequently,857,research_development,10,3,life_sciences,1,199,4,male,91,2,4,manager,1,divorced,17181,12888,4,y,no,13,3,2,80,1,21,2,2,7,6,7,7
no,41,travel_rarely,933,research_development,9,4,life_sciences,1,200,3,male,94,3,1,laboratory_technician,1,married,2238,6961,2,y,no,21,4,4,80,1,7,2,3,5,0,1,4
no,19,travel_rarely,1181,research_development,3,1,medical,1,201,2,female,79,3,1,laboratory_technician,2,single,1483,16102,1,y,no,14,3,4,80,0,1,3,3,1,0,0,0
no,40,travel_frequently,1395,research_development,26,3,medical,1,202,2,female,54,3,2,research_scientist,2,divorced,5605,8504,1,y,no,11,3,1,80,1,20,2,3,20,7,2,13
no,35,travel_rarely,662,sales,1,5,marketing,1,204,3,male,94,3,3,sales_executive,2,married,7295,11439,1,y,no,13,3,1,80,2,10,3,3,10,8,0,6
no,53,travel_rarely,1436,sales,6,2,marketing,1,205,2,male,34,3,2,sales_representative,3,married,2306,16047,2,y,yes,20,4,4,80,1,13,3,1,7,7,4,5
no,45,travel_rarely,194,research_development,9,3,life_sciences,1,206,2,male,60,3,2,laboratory_technician,2,divorced,2348,10901,8,y,no,18,3,3,80,1,20,2,1,17,9,0,15
no,32,travel_frequently,967,sales,8,3,marketing,1,207,2,female,43,3,3,sales_executive,4,single,8998,15589,1,y,no,14,3,4,80,0,9,2,3,9,8,3,7
no,29,non_travel,1496,research_development,1,1,technical_degree,1,208,4,male,41,3,2,manufacturing_director,3,married,4319,26283,1,y,no,13,3,1,80,1,10,1,3,10,7,0,9
